SubjiD,Ox,OY,OZ,MX,mY,MZ,LaNdmark
B7033,-48.5857,-17.8732,-24.9483,-47.9819987,-16.20372355,-25.67910384,Ft
B7033,-32.8506,-39.073,-4.64672,-31.26418123,-39.90738659,-4.839665265,Ex
B7033,-1.8702,-41.5131,6.72617,-2.156072036,-39.98482676,7.294835418,En
B7033,-2.01364,-76.1334,8.99093,-4.277855451,-75.35988941,8.087189821,Al
B7033,4.8022,-80.5824,14.9951,4.695437027,-80.23790016,14.16802201,Sbal
B7033,-9.81344,-105.27,-2.70603,-8.982874203,-105.9571739,-4.135160066,Ch
B7033,14.045,-71.7567,36.1423,14.045,-71.7567,36.1423,Prn
C1283,-52.9472,32.7917,59.675,-54.02778946,31.75070542,58.66806832,Ft
C1283,-41.7148,9.0298,70.9815,-42.87071841,7.579275063,69.639829,Ex
C1283,-9.11296,2.26624,79.7847,-9.983252326,2.606772755,79.71560761,En
C1283,-12.8158,-35.1942,82.6167,-13.42978394,-36.35833191,81.19236742,Al
C1283,-5.79943,-37.2124,91.8349,-6.073833509,-38.27058508,92.23015671,Sbal
C1283,-21.7337,-66.4604,72.6997,-23.15350878,-68.73994659,72.01559779,Ch
C1283,9.20631,-30.5919,107.045,9.20631,-30.5919,107.045,Prn
D8328,-75.6983,76.6618,29.9686,-74.100792,77.1845533,29.49969169,Ft
D8328,-55.7733,57.4841,63.042,-56.52557865,58.24539549,62.50303413,Ex
D8328,-26.9345,54.4301,70.8953,-24.7991957,54.50668071,70.7957632,En
D8328,-31.6887,19.8963,75.0772,-32.15966243,20.93160387,75.84830122,Al
D8328,-24.1067,12.5102,85.1886,-22.60120237,12.91400779,83.51086753,Sbal
D8328,-39.1276,-4.98627,69.2569,-37.50301217,-5.284581329,69.38601844,Ch
D8328,-13.2494,22.3954,105.568,-13.2494,22.3954,105.568,Prn
E4996,-64.847,71.0033,23.6246,-64.08871302,71.77897901,22.43914801,Ft
E4996,-42.2486,50.6254,54.212,-41.39029629,50.74379764,53.9815119,Ex
E4996,-11.732,47.9788,60.2211,-12.1379432,47.14293822,60.41980564,En
E4996,-14.3787,9.88242,60.631,-14.64914867,11.77691702,60.36717702,Al
